Economy,Year,Score-Starting a business
Honduras,DB2008,70.3
"Hong Kong SAR, China",DB2018,98.1
"Hong Kong SAR, China",DB2017,98.2
"Hong Kong SAR, China",DB2016,98.1
"Hong Kong SAR, China",DB2015,96.4
"Hong Kong SAR, China",DB2014,96.5
"Hong Kong SAR, China",DB2013,96.3
"Hong Kong SAR, China",DB2012,96.3
"Hong Kong SAR, China",DB2011,95.4
"Hong Kong SAR, China",DB2010,95.5
"Hong Kong SAR, China",DB2009,91.2
"Hong Kong SAR, China",DB2008,91.1
Hungary,DB2018,87.6
Hungary,DB2017,87.3
Hungary,DB2016,87.1
Hungary,DB2015,86.6
Hungary,DB2014,89.3
Hungary,DB2013,89.3
Hungary,DB2012,91.4
Hungary,DB2011,91.3
Hungary,DB2010,91.3
Hungary,DB2009,91
Hungary,DB2008,80.8
Iceland,DB2018,90.7
Iceland,DB2017,90.6
Iceland,DB2016,90.4
Iceland,DB2015,90.3
Iceland,DB2014,92.1
Iceland,DB2013,92
Iceland,DB2012,91.9
Iceland,DB2011,92
Iceland,DB2010,91.6
Iceland,DB2009,91.8
Iceland,DB2008,91.8
India,DB2018,73.9
India,DB2017,72.2
India,DB2016,71.7
India,DB2015,61.8
India,DB2014,59.1
India,DB2013,
India,DB2012,
India,DB2011,
India,DB2010,
India,DB2009,
India,DB2008,
India - Delhi,DB2018,74.8
India - Delhi,DB2017,74
India - Delhi,DB2016,73.4
India - Delhi,DB2015,63.6
India - Delhi,DB2014,59.5
India - Delhi,DB2013,
India - Delhi,DB2012,
India - Delhi,DB2011,
India - Delhi,DB2010,
